,公司代號,公司名稱,實收資本額
528,3026,禾伸堂企業股份有限公司,1579907790
529,3027,盛達電業股份有限公司,988563110
530,3028,增你強股份有限公司,2138248640
531,3029,零壹科技股份有限公司,1263292120
532,3030,德律科技股份有限公司,2362160000
533,3031,佰鴻工業股份有限公司,1816742240
534,3032,偉訓科技股份有限公司,1132856260
535,3033,威健實業股份有限公司,3677512420
536,3034,聯詠科技股份有限公司,6085114690
537,3035,智原科技股份有限公司,2485503130
538,3036,文曄科技股份有限公司,9262768500
539,3037,欣興電子股份有限公司,15047323330
540,3038,全台晶像股份有限公司,1624076030
541,3040,遠見科技股份有限公司,630000000
542,3041,揚智科技股份有限公司,1938697460
543,3042,台灣晶技股份有限公司,3097570400
544,3043,科風股份有限公司,1948781660
545,3044,健鼎科技股份有限公司,5256058980
546,3045,台灣大哥大股份有限公司,35124214610
547,3046,建碁股份有限公司,714480130
548,3047,訊舟科技股份有限公司,1893702330
549,3048,益登科技股份有限公司,2225725400
550,3049,和鑫光電股份有限公司,8069485290
551,3050,鈺德科技股份有限公司,1459844500
552,3051,力特光電科技股份有限公司,3253323960
553,3052,夆典科技開發股份有限公司,2287135540
554,3054,立萬利創新股份有限公司,834110410
555,3055,蔚華科技股份有限公司,1024419180
556,3056,總太地產開發股份有限公司,2107907080
557,3057,喬鼎資訊股份有限公司,893288080
558,3058,立德電子股份有限公司,1619373510
559,3059,華晶科技股份有限公司,2793145250
560,3060,銘異科技股份有限公司,1375631900
561,3062,建漢科技股份有限公司,3286054180
562,3090,日電貿股份有限公司,1786571500
563,3092,鴻碩精密電工股份有限公司,899081350
564,3094,聯傑國際股份有限公司,846320890
565,3130,一零四資訊科技股份有限公司,331907000
566,3138,耀登科技股份有限公司,465956630
567,3149,正達國際光電股份有限公司,2063936040
568,3164,景岳生物科技股份有限公司,863413640
569,3167,大量科技股份有限公司,801341160
570,3189,景碩科技股份有限公司,4508440600
571,3209,全科科技股份有限公司,1891813060
572,3229,晟鈦股份有限公司,935158810
573,3231,緯創資通股份有限公司,29036120500
574,3257,虹冠電子工業股份有限公司,727389910
575,3266,昇陽建設企業股份有限公司,3523143090
576,3296,勝德國際研發股份有限公司,967244500
577,3305,昇貿科技股份有限公司,1195435720
578,3308,聯德電子股份有限公司,985696630
579,3311,閎暉實業股份有限公司,680000000
580,3312,弘憶國際股份有限公司,1251140500
581,3321,同泰電子科技股份有限公司,1561448250
582,3338,泰碩電子股份有限公司,878771410
583,3346,麗清科技股份有限公司,924197700
584,3356,奇偶科技股份有限公司,898257030
585,3376,新日興股份有限公司,1924053460
586,3380,明泰科技股份有限公司,5417184600
587,3383,新世紀光電股份有限公司,700000000
588,3406,玉晶光電股份有限公司,1118820630
589,3413,京鼎精密科技股份有限公司,876714140
590,3416,融程電訊股份有限公司,724759470
591,3419,譁裕實業股份有限公司,1204804170
592,3432,台端興業股份有限公司,665860000
593,3437,榮創能源科技股份有限公司,1445480000
594,3443,創意電子股份有限公司,1340119110
595,3450,聯鈞光電股份有限公司,1456813820
596,3454,晶睿通訊股份有限公司,869573930
597,3481,群創光電股份有限公司,102483195990
598,3494,誠研科技股份有限公司,1794506340
599,3501,維熹科技股份有限公司,1182579270
600,3504,揚明光學股份有限公司,1140597850
601,3515,華擎科技股份有限公司,1206424290
602,3518,柏騰科技股份有限公司,807522300
603,3528,安馳科技股份有限公司,656159660
604,3530,晶相光電股份有限公司,781109000
605,3532,台塑勝高科技股份有限公司,3878483000
606,3533,嘉澤端子工業股份有限公司,1034779000
